x_coord,y_coord,z_coord,grid_name,ghp_tree
-5.02825,-4.00751,0.1,{13},grid13_short_grass
-33.18646,-16.03006,0.1,{14},grid14_short_grass
-33.18646,-14.0263,0.1,{14},grid14_short_grass
-31.17516,-18.03382,0.1,{14},grid14_short_grass
-31.17516,-16.03006,0.1,{14},grid14_short_grass
-31.17516,-14.0263,0.1,{14},grid14_short_grass
-29.16386,-20.03757,0.1,{14},grid14_short_grass
-29.16386,-18.03382,0.1,{14},grid14_short_grass
-29.16386,-16.03006,0.1,{14},grid14_short_grass
-29.16386,-14.0263,0.1,{14},grid14_short_grass
-29.16386,-12.02254,0.1,{14},grid14_short_grass
-27.15256,-18.03382,0.1,{14},grid14_short_grass
-27.15256,-16.03006,0.1,{14},grid14_short_grass
-27.15256,-14.0263,0.1,{14},grid14_short_grass
-27.15256,-12.02254,0.1,{14},grid14_short_grass
-25.14126,-18.03382,0.1,{14},grid14_short_grass
-25.14126,-16.03006,0.1,{14},grid14_short_grass
-25.14126,-14.0263,0.1,{14},grid14_short_grass
-25.14126,-12.02254,0.1,{14},grid14_short_grass
-25.14126,-10.01879,0.1,{14},grid14_short_grass
-23.12996,-16.03006,0.1,{14},grid14_short_grass
-23.12996,-14.0263,0.1,{14},grid14_short_grass
-23.12996,-12.02254,0.1,{14},grid14_short_grass
-23.12996,-10.01879,0.1,{14},grid14_short_grass
-21.11866,-16.03006,0.1,{14},grid14_short_grass
-21.11866,-14.0263,0.1,{14},grid14_short_grass
-21.11866,-12.02254,0.1,{14},grid14_short_grass
-21.11866,-10.01879,0.1,{14},grid14_short_grass
-21.11866,-8.01503,0.1,{14},grid14_short_grass
-19.10736,-14.0263,0.1,{14},grid14_short_grass
-19.10736,-12.02254,0.1,{14},grid14_short_grass
-19.10736,-10.01879,0.1,{14},grid14_short_grass
-19.10736,-8.01503,0.1,{14},grid14_short_grass
-17.09606,-12.02254,0.1,{14},grid14_short_grass
-17.09606,-10.01879,0.1,{14},grid14_short_grass
-45.25427,-36.06764,0.1,{15},grid15_short_grass
-45.25427,-34.06388,0.1,{15},grid15_short_grass
-43.24297,-36.06764,0.1,{15},grid15_short_grass
-43.24297,-34.06388,0.1,{15},grid15_short_grass
-41.23166,-36.06764,0.1,{15},grid15_short_grass
-41.23166,-34.06388,0.1,{15},grid15_short_grass
-41.23166,-32.06012,0.1,{15},grid15_short_grass
-39.22036,-36.06764,0.1,{15},grid15_short_grass
-39.22036,-34.06388,0.1,{15},grid15_short_grass
-39.22036,-32.06012,0.1,{15},grid15_short_grass
-37.20906,-36.06764,0.1,{15},grid15_short_grass
-37.20906,-34.06388,0.1,{15},grid15_short_grass
-37.20906,-32.06012,0.1,{15},grid15_short_grass
-37.20906,-30.05636,0.1,{15},grid15_short_grass
-35.19776,-38.07139,0.1,{15},grid15_short_grass
-35.19776,-36.06764,0.1,{15},grid15_short_grass
